Organization Description,,Faculty Last,First Initial,,Faculty Name
Art and Art History,,Rubenstein,E,,"Rubenstein, E."
Art and Art History,,Johnson,C,,"Johnson, C."
Art and Art History,,Denton,M,,"Denton, M."
Art and Art History,,Rhodes,D,,"Rhodes, D."
Biology,,Hayden,W,,"Hayden, W."
Biology,,Kingsley,R,,"Kingsley, R."
Biology,,Kingsley,R,,"Kingsley, R."
Biology,,Bishop,J,,"Bishop, J."
Biology,,Reiner,M,,"Reiner, M."
Biology,,Smith,M,,"Smith, M."
Continuing Studies Credit,,Maurakis,E,,"Maurakis, E."
Biology,,Muehlstein,L,,"Muehlstein, L."
Biology,,Radice,G,,"Radice, G."
Biology,,Shanabruch,W,,"Shanabruch, W."
Biology,,Decker,R,,"Decker, R."
Biology,,Emery,H,,"Emery, H."
Classical Studies,,Simpson,D,,"Simpson, D."
Classical Studies,,Stevenson,W,,"Stevenson, W."
Classical Studies,,Wheeler,S,,"Wheeler, S."
Education,,Brown,M,,"Brown, M."
Education,,Eicher,B,,"Eicher, B."
Education,,Traynelis-Yurek,E,,"Traynelis-Yurek, E."
Education,,Pruden,E,,"Pruden, E."
English,,Schwartz,L,,"Schwartz, L."
English,,Nelson,R,,"Nelson, R."
English,,Taylor,W,,"Taylor, W."
English,,Jones,S,,"Jones, S."
Continuing Studies Credit,,Reilly,R,,"Reilly, R."
Education,,McMurtry,J,,"McMurtry, J."
English,,Loxterman,A,,"Loxterman, A."
English,,Barza,S,,"Barza, S."
English,,Hickey,D,,"Hickey, D."
English,,MacAllister,J,,"MacAllister, J."
English,,Griffin,B,,"Griffin, B."
English,,Givens,T,,"Givens, T."
English,,Tremaine,L,,"Tremaine, L."
English,,Hewett-Smith,K,,"Hewett-Smith, K."
English,,Watt,G,,"Watt, G."
English,,Hilliard,R,,"Hilliard, R."
English,,Hilliard,R,,"Hilliard, R."
Chemistry,,Abrash,S,,"Abrash, S."
Chemistry,,Clough,S,,"Clough, S."
Chemistry,,Topham,R,,"Topham, R."
Chemistry,,Dominey,R,,"Dominey, R."
Chemistry,,Myers,W,,"Myers, W."
Chemistry,,Ferguson,G,,"Ferguson, G."
Chemistry,,Goldman,E,,"Goldman, E."
History,,Westin,R,,"Westin, R."
Retired Employees,,Bogle,E,,"Bogle, E."
Continuing Studies Credit,,Wray,E,,"Wray, E."
History,,Bolt,E,,"Bolt, E."
History,,Ryle,M,,"Ryle, M."
Continuing Studies Credit,,Treadway,J,,"Treadway, J."
History,,Summers,C,,"Summers, C."
History,,Ward,H,,"Ward, H."
History,,Rilling,J,,"Rilling, J."
Credit Admin,,Gordon,J,,"Gordon, J."
History,,Evans,D,,"Evans, D."
Journalism,,Spear,M,,"Spear, M."
Journalism,,Nash,S,,"Nash, S."
Journalism,,Nash,S,,"Nash, S."
Math & Computer Sciences,,Hubbard,J,,"Hubbard, J."
Math & Computer Sciences,,Withers,N,,"Withers, N."
Math & Computer Sciences,,Davis,J,,"Davis, J."
Provost Office,,Kent,J,,"Kent, J."
Math & Computer Sciences,,Hoke,H,,"Hoke, H."
Math & Computer Sciences,,Hoke,K,,"Hoke, K."
Math & Computer Sciences,,Barnett,B,,"Barnett, B."
Math & Computer Sciences,,Charlesworth,A,,"Charlesworth, A."
Math & Computer Sciences,,MacCluer,B,,"MacCluer, B."
Math & Computer Sciences,,Kerckhove,M,,"Kerckhove, M."
Math & Computer Sciences,,Hubbard,A,,"Hubbard, A."
Math & Computer Sciences,,Nall,V,,"Nall, V."
Math & Computer Sciences,,Greenfield,G,,"Greenfield, G."
"Languages, Literatures,and Cultures",,Bradley-Cromey,N,,"Bradley-Cromey, N."
"Languages, Literatures,and Cultures",,Perry,K,,"Perry, K."
"Languages, Literatures,and Cultures",,Bonfiglio,T,,"Bonfiglio, T."
"Languages, Literatures,and Cultures",,Marcone,R,,"Marcone, R."
"Languages, Literatures,and Cultures",,Dawson,L,,"Dawson, L."
"Languages, Literatures,and Cultures",,Suzuki,A,,"Suzuki, A."
"Languages, Literatures,and Cultures",,Booth,S,,"Booth, S."
Credit Admin,,Baroody,B,,"Baroody, B."
"Languages, Literatures,and Cultures",,Terry,R,,"Terry, R."
"Languages, Literatures,and Cultures",,Dawson,A,,"Dawson, A."
"Languages, Literatures,and Cultures",,Dunham,R,,"Dunham, R."
"Latin Am, Latino, & Iberian Studies",,Lawrence,D,,"Lawrence, D."
"Languages, Literatures,and Cultures",,Ravaux-Kirkpatrick,F,,"Ravaux-Kirkpatrick, F."
"Languages, Literatures,and Cultures",,Hayes,J,,"Hayes, J."
"Languages, Literatures,and Cultures",,Howell,Y,,"Howell, Y."
Music,,Becker,R,,"Becker, R."
Music,,Niethamer,D,,"Niethamer, D."
Music,,Blake,P,,"Blake, P."
Music,,Davison,M,,"Davison, M."
Music,,Anderson,G,,"Anderson, G."
Theatre & Dance Performance,,Rudolf,H,,"Rudolf, H."
Music,,Cohen,A,,"Cohen, A."
Philosophy,,Hall,J,,"Hall, J."
Philosophy,,Simpson,L,,"Simpson, L."
Health & Sport Science,,Rohaly,K,,"Rohaly, K."
Music,,Daleng,M,,"Daleng, M."
Health & Sport Science,,Jordan,E,,"Jordan, E."
Health & Sport Science,,Pierce,E,,"Pierce, E."
Health & Sport Science,,Pate,D,,"Pate, D."
Health & Sport Science,,McGowan,R,,"McGowan, R."
Physics,,Vineyard,M,,"Vineyard, M."
Physics,,Gilfoyle,G,,"Gilfoyle, G."
Physics,,Seaborn,J,,"Seaborn, J."
Political Science,,Palazzolo,D,,"Palazzolo, D."
Political Science,,Whelan,J,,"Whelan, J."
Political Science,,Carapico,S,,"Carapico, S."
Political Science,,West,E,,"West, E."
Political Science,,Gunlicks,A,,"Gunlicks, A."
Political Science,,Outland,J,,"Outland, J."
Psychology,,Kozub,F,,"Kozub, F."
Psychology,,Sholley,B,,"Sholley, B."
Psychology,,Francis,E,,"Francis, E."
Psychology,,Allison,S,,"Allison, S."
Psychology,,Blick,K,,"Blick, K."
Psychology,,Tromater,L,,"Tromater, L."
Psychology,,Berry,J,,"Berry, J."
Psychology,,Newcomb,A,,"Newcomb, A."
Psychology,,Kinsley,C,,"Kinsley, C."
Religion,,Bergren,T,,"Bergren, T."
Religion,,Oakey,C,,"Oakey, C."
Religion,,Eakin,F,,"Eakin, F."
Religion,,Shaw,M,,"Shaw, M."
Religion,,James,R,,"James, R."
Sociology & Anthropology,,Lee,S,,"Lee, S."
Sociology & Anthropology,,Stewart,H,,"Stewart, H."
Provost Office,,Neff,J,,"Neff, J."
Sociology & Anthropology,,Wingrove,C,,"Wingrove, C."
Sociology & Anthropology,,Wharton,C,,"Wharton, C."
Sociology & Anthropology,,Dunkel,R,,"Dunkel, R."
Sociology & Anthropology,,Nourse,J,,"Nourse, J."
Theatre & Dance Operations,,Schoen,W,,"Schoen, W."
Rhetoric & Communication Studies,,Hobgood,L,,"Hobgood, L."
Theatre & Dance Performance,,Welsh,J,,"Welsh, J."
Theatre & Dance Operations,,West,W,,"West, W."
Credit Admin,,Allen,N,,"Allen, N."
Rhetoric & Communication Studies,,Tarver,J,,"Tarver, J."
Rhetoric & Communication Studies,,Thomas,D,,"Thomas, D."
Rhetoric & Communication Studies,,Chang,H,,"Chang, H."
Law School - Instruction,,Ivey,M,,"Ivey, M."
Finance,,Earl,J,,"Earl, J."
ECRSB - Instruction,,Schweikart,J,,"Schweikart, J."
ECRSB - Instruction,,Jones,P,,"Jones, P."
ECRSB - Instruction,,Giacalone,R,,"Giacalone, R."
ECRSB - Instruction,,Sanborn,R,,"Sanborn, R."
ECRSB - Instruction,,Dean,D,,"Dean, D."
Economics,,Nicholson,R,,"Nicholson, R."
Accounting,,Slaughter,R,,"Slaughter, R."
ECRSB - Instruction,,Battle,A,,"Battle, A."
Economics,,Cook,R,,"Cook, R."
Continuing Studies Credit,,Leonard,R,,"Leonard, R."
ECRSB - Instruction,,Whitaker,D,,"Whitaker, D."
Retired Employees,,Edwards,N,,"Edwards, N."
Marketing,,Babb,H,,"Babb, H."
Management,,Ashworth,D,,"Ashworth, D."
Accounting,,Hoyle,J,,"Hoyle, J."
ECRSB - Instruction,,King,R,,"King, R."
Management,,Litteral,L,,"Litteral, L."
ECRSB - Instruction,,Rose,J,,"Rose, J."
ECRSB - Instruction,,Phillips,R,,"Phillips, R."
Economics,,Dolan,R,,"Dolan, R."
Marketing,,Lascu,D,,"Lascu, D."
ECRSB - Instruction,,Weisenberger,T,,"Weisenberger, T."
Economics,,Wight,J,,"Wight, J."
ECRSB - Instruction,,Raines,J,,"Raines, J."
Finance,,Lancaster,M,,"Lancaster, M."
ECRSB - International,,Cosse,T,,"Cosse, T."
ECRSB - Instruction,,Burnett,A,,"Burnett, A."
ECRSB - Instruction,,Beard,J,,"Beard, J."
Finance,,Stevens,J,,"Stevens, J."
Continuing Studies Credit,,Champlin,M,,"Champlin, M."
Continuing Studies Credit,,Helms,J,,"Helms, J."
Continuing Studies Credit,,Foreman,G,,"Foreman, G."
Credit Admin,,Cousins,T,,"Cousins, T."
Continuing Studies Credit,,Gates,T,,"Gates, T."
Credit Admin,,Moorefield,J,,"Moorefield, J."
Credit Admin,,Dobbs,M,,"Dobbs, M."
Law School - Instruction,,Swisher,P,,"Swisher, P."
Law School - Instruction,,Jones,J,,"Jones, J."
Law School - Instruction,,Dark,O,,"Dark, O."
Law School - Instruction,,Murphy,D,,"Murphy, D."
Law School - Instruction,,Bacigal,R,,"Bacigal, R."
Law School - Instruction,,Johnson,J,,"Johnson, J."
Law School - Instruction,,Douglass,J,,"Douglass, J."
Law School - Instruction,,Bryson,W,,"Bryson, W."
Law School - Instruction,,Stubbs,J,,"Stubbs, J."
Law School - Instruction,,Hodges,A,,"Hodges, A."
Law School - Instruction,,Wolf,M,,"Wolf, M."
Law School - Instruction,,Herbert,M,,"Herbert, M."
Law School - Instruction,,Zwier,P,,"Zwier, P."
Law School - Instruction,,Rohman,T,,"Rohman, T."
Law School - Instruction,,Guernsey,T,,"Guernsey, T."
Law School - Instruction,,Williams,W,,"Williams, W."
Law School - Instruction,,Berryhill,W,,"Berryhill, W."
Law School - Instruction,,Kaine,T,,"Kaine, T."
Law School - Instruction,,Moenssens,A,,"Moenssens, A."
English,,Essid,J,,"Essid, J."
Executive Education Administration,,Meluch,J,,"Meluch, J."
History,,West,H,,"West, H."
Jepson School - Instruction,,Couto,R,,"Couto, R."
Jepson School - Instruction,,Klenke,K,,"Klenke, K."
Jepson School - Instruction,,Ciulla,J,,"Ciulla, J."
Philosophy,,Shapiro,G,,"Shapiro, G."
eighth blackbird,,Li,H,,"Li, H."
eighth blackbird,,Li,W,,"Li, W."
Music,,Wilson,J,,"Wilson, J."
"Languages, Literatures,and Cultures",,Troncale,J,,"Troncale, J."
Law School - Instruction,,McCauley,K,,"McCauley, K."
Law School - Instruction,,Rigler,J,,"Rigler, J."
Law School - Instruction,,Welch,K,,"Welch, K."
Law School - Instruction,,Duffey,P,,"Duffey, P."
Music,,Baedke,R,,"Baedke, R."
ECRSB - Instruction,,Hogan,N,,"Hogan, N."
Law School - Instruction,,Walinski,K,,"Walinski, K."
Continuing Studies Credit,,Curtis,A,,"Curtis, A."
SPCS Administration,,Flynn,G,,"Flynn, G."
Law School - Instruction,,Cushmac,A,,"Cushmac, A."
Law School - Instruction,,Carroll,J,,"Carroll, J."
History,,Galgano,R,,"Galgano, R."
Law School - Instruction,,Oglesby,N,,"Oglesby, N."
Math & Computer Sciences,,Grocholski,A,,"Grocholski, A."
Continuing Studies Credit,,Morgan,A,,"Morgan, A."
Continuing Studies Credit,,Turpin,J,,"Turpin, J."
ECRSB - Instruction,,Taylor,T,,"Taylor, T."
Law School - Instruction,,Hoy,M,,"Hoy, M."
Law School - Instruction,,Byrne,S,,"Byrne, S."
Environmental Studies,,Rovner,N,,"Rovner, N."
Music,,Jones,B,,"Jones, B."
"Latin Am, Latino, & Iberian Studies",,Santos,S,,"Santos, S."
Journalism,,Roop,J,,"Roop, J."
Psychology,,Bagwell,C,,"Bagwell, C."
Law School - Instruction,,Hallock,S,,"Hallock, S."
Law School - Instruction,,Seltzer,C,,"Seltzer, C."
ECRSB - Instruction,,Voeks,L,,"Voeks, L."
Law School - Instruction,,Robinson,J,,"Robinson, J."
Credit Admin,,Levy,D,,"Levy, D."
Continuing Studies Credit,,Vecchione,P,,"Vecchione, P."
Law School - Instruction,,Chiffolo,M,,"Chiffolo, M."
Journalism,,Mullen,T,,"Mullen, T."
Law School - Instruction,,Brice,L,,"Brice, L."
Biology,,Freier,D,,"Freier, D."
Law School - Instruction,,Snukals,B,,"Snukals, B."
Law School - Instruction,,Johnson,D,,"Johnson, D."
Law School - Instruction,,Katz,P,,"Katz, P."
MBA Programs,,Lawrence,J,,"Lawrence, J."
Information Services Administration,,Paulsen,J,,"Paulsen, J."
Continuing Studies Credit,,Banks,J,,"Banks, J."
ECRSB - Instruction,,Tuck,R,,"Tuck, R."
Continuing Studies Credit,,Fagan,M,,"Fagan, M."
Law School - Instruction,,Rockwell,F,,"Rockwell, F."
Continuing Studies Credit,,Alley,J,,"Alley, J."
Law School - Instruction,,Meath,J,,"Meath, J."
Continuing Studies Credit,,Calabro,S,,"Calabro, S."
English,,Daniel,A,,"Daniel, A."
Law School - Instruction,,Walker,M,,"Walker, M."
ECRSB - Instruction,,Stewart,I,,"Stewart, I."
Law School - Instruction,,Benos,W,,"Benos, W."
Continuing Studies Credit,,Burruss,A,,"Burruss, A."
"Languages, Literatures,and Cultures",,Ramsey,J,,"Ramsey, J."
SPCS Administration,,Walk,E,,"Walk, E."
Law School - Instruction,,Erard,A,,"Erard, A."
Credit Admin,,Mitteldorfer,S,,"Mitteldorfer, S."
Law School - Instruction,,Phillips,J,,"Phillips, J."
Continuing Studies Credit,,Fisher,C,,"Fisher, C."
Accounting,,Rohrbach,P,,"Rohrbach, P."
Continuing Studies Credit,,Raines,J,,"Raines, J."
Law School - Instruction,,Jeffreys,H,,"Jeffreys, H."
Sociology & Anthropology,,Rowlett,R,,"Rowlett, R."
"Latin Am, Latino, & Iberian Studies",,Jenkins,R,,"Jenkins, R."
History,,Johnson,D,,"Johnson, D."
Law School - Instruction,,Dinkin,W,,"Dinkin, W."
Education,,Lanham,J,,"Lanham, J."
Continuing Studies Credit,,Bruny,K,,"Bruny, K."
Law School - Instruction,,Allen,M,,"Allen, M."
Law School - Instruction,,Bartges,K,,"Bartges, K."
SPCS Administration,,Roberts,D,,"Roberts, D."
ECRSB - Instruction,,Guthrie,C,,"Guthrie, C."
"Latin Am, Latino, & Iberian Studies",,Buchanan,J,,"Buchanan, J."
ECRSB - International,,Wright,J,,"Wright, J."
Religion,,Compton,M,,"Compton, M."
Political Science,,Mayes,R,,"Mayes, R."
Continuing Studies Credit,,Hiller,G,,"Hiller, G."
Accounting,,Dertinger,T,,"Dertinger, T."
Chemistry,,Kanters,R,,"Kanters, R."
"Languages, Literatures,and Cultures",,Kapanga,K,,"Kapanga, K."
Political Science,,Chapman,R,,"Chapman, R."
Math & Computer Sciences,,Ross,W,,"Ross, W."
Sociology & Anthropology,,Cavalcanti,H,,"Cavalcanti, H."
Sociology & Anthropology,,Obi,J,,"Obi, J."
English,,Russell,A,,"Russell, A."
Political Science,,Patterson,P,,"Patterson, P."
Political Science,,Kandeh,J,,"Kandeh, J."
"Women, Gender, & Sexuality Studies",,McWhorter,L,,"McWhorter, L."
Jepson School - Instruction,,Howe,W,,"Howe, W."
English,,Dance,D,,"Dance, D."
"Latin Am, Latino, & Iberian Studies",,Ferman,C,,"Ferman, C."
Music,,McEntire,J,,"McEntire, J."
Math & Computer Sciences,,Hayes,W,,"Hayes, W."
Art and Art History,,Addiss,S,,"Addiss, S."
Art and Art History,,Keiser,D,,"Keiser, D."
Jepson School - Instruction,,Hickman,G,,"Hickman, G."
Jepson School - Instruction,,Wren,J,,"Wren, J."
University Museums,,Waller,R,,"Waller, R."
Law School - Instruction,,Heen,M,,"Heen, M."
Law School - Instruction,,Kelleher,L,,"Kelleher, L."
Economics,,McGoldrick,K,,"McGoldrick, K."
SPCS Administration,,Shields,T,,"Shields, T."
Law School - Instruction,,Lohr,L,,"Lohr, L."
Law School - Instruction,,Hopkins,C,,"Hopkins, C."
History,,Sella,B,,"Sella, B."
Math & Computer Sciences,,Adams,S,,"Adams, S."
ECRSB - Instruction,,Gray,S,,"Gray, S."
Chemistry,,Stevenson,C,,"Stevenson, C."
English,,Gruner,E,,"Gruner, E."
Biology,,De Sa,R,,"De Sa, R."
Psychology,,Leary,D,,"Leary, D."
Credit Admin,,Micas,S,,"Micas, S."
Provost,,Bowen,Z,,"Bowen, Z."
Political Science,,Swinford,W,,"Swinford, W."
History,,Kenzer,R,,"Kenzer, R."
Physics,,Druzbick,J,,"Druzbick, J."
Physics Lecture,,Rubin,P,,"Rubin, P."
Philosophy,,Schauber,N,,"Schauber, N."
English,,Crawford,D,,"Crawford, D."
Law School - Instruction,,Reiner,J,,"Reiner, J."
English,,Princiotto-Gorrell,P,,"Princiotto-Gorrell, P."
Biology,,Park,M,,"Park, M."
ECRSB - Instruction,,Damico,J,,"Damico, J."
Music,,Kong,J,,"Kong, J."
"Languages, Literatures,and Cultures",,Schwalb,C,,"Schwalb, C."
Theatre & Dance Operations,,Pope,L,,"Pope, L."
Music,,Hanson,P,,"Hanson, P."
Music,,Friedman,J,,"Friedman, J."
Biology,,Kish,V,,"Kish, V."
Continuing Studies Credit,,Suskind,D,,"Suskind, D."
Law School - Instruction,,Eisen,J,,"Eisen, J."
Music,,Cable,J,,"Cable, J."
Law School - Instruction,,Al-Hibri,A,,"Al-Hibri, A."
Jepson School - Instruction,,Swatez,M,,"Swatez, M."
Political Science,,Cherry,K,,"Cherry, K."
Law School - Instruction,,Finley,S,,"Finley, S."
Law School - Instruction,,Bernier,B,,"Bernier, B."
Law School - Instruction,,Herring,M,,"Herring, M."
Law School - Instruction,,Newman,J,,"Newman, J."
Credit Admin,,Fellows,B,,"Fellows, B."
Art and Art History,,Ross,F,,"Ross, F."
Journalism,,Lappas,T,,"Lappas, T."
Education,,McGinty,J,,"McGinty, J."
Law School - Instruction,,Thorne-Begland,T,,"Thorne-Begland, T."
Law School - Instruction,,Jones,R,,"Jones, R."
Journalism,,Nuwer,H,,"Nuwer, H."
English,,Brodber,E,,"Brodber, E."
Theatre & Dance Operations,,Van Gelder,A,,"Van Gelder, A."
Law School - Instruction,,Casey,T,,"Casey, T."
Music,,Guthmiller,A,,"Guthmiller, A."
ECRSB - Instruction,,Eylon,D,,"Eylon, D."
Law School - Instruction,,Carter,G,,"Carter, G."
Law School - Instruction,,Hassell,L,,"Hassell, L."
Law School - Instruction,,Burtch,J,,"Burtch, J."
Law School - Instruction,,Lacy,E,,"Lacy, E."
English,,Pethica,J,,"Pethica, J."
Economics,,Craft,E,,"Craft, E."
Jepson School - Instruction,,Jablin,F,,"Jablin, F."
Art and Art History,,Seo,A,,"Seo, A."
Biology,,Goodner,B,,"Goodner, B."
Education,,Stohr-Hunt,P,,"Stohr-Hunt, P."
Continuing Studies Credit,,Narduzzi,J,,"Narduzzi, J."
Accounting,,Walden,W,,"Walden, W."
Ctr for Active Business Education,,Schnorbus,R,,"Schnorbus, R."
Law School - Instruction,,Sergienko,G,,"Sergienko, G."
Religion,,Davis,G,,"Davis, G."
Biology,,Stenger,K,,"Stenger, K."
ECRSB - Instruction,,New,J,,"New, J."
Math & Computer Sciences,,Dumbaugh,D,,"Dumbaugh, D."
"Languages, Literatures,and Cultures",,Royo,A,,"Royo, A."
Biology,,Beets,J,,"Beets, J."
ECRSB - Instruction,,Brown,M,,"Brown, M."
Law School - Instruction,,Johnson,R,,"Johnson, R."
Law School - Instruction,,Axselle,A,,"Axselle, A."
Law School - Instruction,,Geiger,A,,"Geiger, A."
Law School - Instruction,,Holloway,M,,"Holloway, M."
Law School - Instruction,,Faraci,S,,"Faraci, S."
eighth blackbird,,Jiang,Y,,"Jiang, Y."
Law School - Instruction,,Putbrese,C,,"Putbrese, C."
Psychology,,Baranova,A,,"Baranova, A."
"Languages, Literatures,and Cultures",,Prokhorova,E,,"Prokhorova, E."
Law School - Instruction,,McConnell,J,,"McConnell, J."
Math & Computer Sciences,,Caudill,L,,"Caudill, L."
Law School - Instruction,,Langer,M,,"Langer, M."
Accounting,,Molenkamp,J,,"Molenkamp, J."
"Languages, Literatures,and Cultures",,Bower,K,,"Bower, K."
"Latin Am, Latino, & Iberian Studies",,Hermida-Ruiz,A,,"Hermida-Ruiz, A."
ECRSB - Instruction,,Charlton,W,,"Charlton, W."
Education,,Roellke,C,,"Roellke, C."
Accounting,,Clikeman,P,,"Clikeman, P."
History,,Yellin,E,,"Yellin, E."
Music,,Riehl,J,,"Riehl, J."
Political Science,,Mitchell,B,,"Mitchell, B."
Chemistry,,Case,W,,"Case, W."
"Languages, Literatures,and Cultures",,Cordero,M,,"Cordero, M."
Teacher Licensure Program,,Leahy,S,,"Leahy, S."
Theatre & Dance Operations,,Pallant,C,,"Pallant, C."
Music,,Spencer,J,,"Spencer, J."
Classical Studies,,Vandervelde,C,,"Vandervelde, C."
Law School - Instruction,,Appel,B,,"Appel, B."
Biology,,Hager,B,,"Hager, B."
Education,,Joyce,K,,"Joyce, K."
Rhetoric & Communication Studies,,Heller,L,,"Heller, L."
Law School - Instruction,,Hanes,E,,"Hanes, E."
Law School - Instruction,,Hanes,E,,"Hanes, E."
Law School - Instruction,,Seyfarth,C,,"Seyfarth, C."
Music,,Lawson,J,,"Lawson, J."
English,,Ashe,B,,"Ashe, B."
Education,,Moore,D,,"Moore, D."
Law School - Instruction,,Webb,L,,"Webb, L."
SPCS Administration,,Bray,S,,"Bray, S."
Law School - Instruction,,Bain,K,,"Bain, K."
Art Center,,Panoff,K,,"Panoff, K."
Continuing Studies Credit,,Bland,L,,"Bland, L."
